,URN,Station No.,Shift,Hour,Priority,Distance
203,PS-20220712-1042,2.0,Night,22,Immediate,2.1560637293959526
204,PS-20220713-2288,2.0,Night,22,Immediate,2.215054579766113
205,PS-20220713-2307,2.0,Night,22,Immediate,7.467471088495218
206,PS-20220714-1604,3.0,Night,22,Immediate,1.6253706534173415
207,PS-20220707-1881,2.0,Night,22,Immediate,2.969040241126658
208,PS-20220709-0869,2.0,Night,23,Immediate,1.595644345327269
209,PS-20220711-0526,2.0,Night,23,Immediate,0.6648420106612434
210,PS-20220709-4073,3.0,Night,23,Immediate,0.9548141975984541
211,PS-20220706-0009,3.0,Early,0,Prompt,10.668443792229848
212,PS-20220706-0021,2.0,Early,0,Prompt,6.58340276569127
213,PS-20220706-0035,2.0,Early,0,Prompt,6.719900775312087
214,PS-20220706-0043,3.0,Early,0,Prompt,3.3735589990664905
215,PS-20220706-0054,2.0,Early,0,Prompt,0.8776144328570278
216,PS-20220709-0467,2.0,Early,0,Prompt,2.461922702271533
217,PS-20220709-0502,3.0,Early,0,Prompt,0.1036544289414474
218,PS-20220709-0540,3.0,Early,0,Prompt,1.3280234557318589
219,PS-20220711-0546,3.0,Early,0,Prompt,7.656910517966909
220,PS-20220711-1338,2.0,Day,8,Prompt,2.628243406263189
221,PS-20220711-1356,3.0,Day,8,Prompt,1.838671895425028
222,PS-20220709-1064,3.0,Day,8,Prompt,0.5472336929320244
223,PS-20220711-3104,3.0,Day,8,Prompt,6.515118570617204
224,PS-20220711-3202,2.0,Day,8,Prompt,2.3591651934243703
225,PS-20220711-3204,3.0,Day,8,Prompt,5.8465034294790605
226,PS-20220712-1684,3.0,Day,8,Prompt,7.91906400055462
227,PS-20220712-1775,2.0,Day,8,Prompt,6.464687626312243
228,PS-20220706-0449,3.0,Night,16,Prompt,1.9850127253205592
229,PS-20220709-1321,2.0,Night,16,Prompt,7.868071934121728
230,PS-20220712-0074,2.0,Night,16,Prompt,1.9214421329992397
231,PS-20220712-0087,3.0,Night,16,Prompt,5.946896189466481
232,PS-20220709-2110,3.0,Night,16,Prompt,8.160598925651982
233,PS-20220712-2531,3.0,Night,16,Prompt,6.494227624043787
234,PS-20220712-2551,3.0,Night,16,Prompt,2.994803364448894
235,PS-20220712-2619,2.0,Night,16,Prompt,2.367104831757279
236,PS-20220713-1104,2.0,Night,16,Prompt,5.548856392384203
237,PS-20220713-1122,2.0,Night,16,Prompt,3.734383270422786
238,PS-20220713-1134,2.0,Night,16,Prompt,0.9324280146165351
239,PS-20220713-1156,2.0,Night,16,Prompt,1.4047852721817409
